7 CE 1D 98 80 0
7 CE 21 81 80 0
F CE 59 A 0 0
7 CF 10 B9 80 0
7 D0 15 79 0 0
7 D0 B4 A4 0 0
7 D1 9B 1A 0 0
7 D2 3B F 0 0
F D2 66 91 0 0
F D2 90 1A 80 0
7 D2 91 94 0 0
7 D3 32 C9 0 0
F D3 60 36 0 0
F D3 6F 47 80 0
F D3 7C 23 0 0
7 D3 B2 FE 80 0
7 D4 A 1A 80 0
7 D4 31 8D 80 0
F D4 A7 86 0 0
7 D4 CB 53 80 0
7 D4 E0 AB 0 0
F D6 1C 82 80 0
7 D6 57 18 80 0
7 D6 99 AB 80 0
7 D7 5E FF 0 0
7 D7 CC E2 80 0
F D7 ED 33 80 0
7 D8 53 6A 0 0
7 D8 65 B9 0 0
7 D9 25 42 80 0
7 D9 F2 3 80 0
7 DA 18 91 80 0
F DA 3F 16 80 0
F DA 72 4A 0 0
7 DB B2 F0 0 0
F DB C8 DD 0 0
7 DC 48 4B 0 0
7 DC 53 B 80 0
7 DC 62 94 80 0
7 DC A7 B8 0 0
7 DC BF 11 0 0
F DD 53 3 0 0
F DD 5D 7A 0 0
7 DD 71 D8 80 0
7 DD AF 7B 0 0
F DD E8 8A 0 0
F DD E9 88 0 0
7 DE 14 64 0 0
F DE 6A 49 0 0
7 DE C4 C9 80 0
7 DE E6 A1 80 0
F DF BC B3 0 0
7 E0 E 38 0 0
7 E0 43 45 0 0
7 E0 C8 8C 0 0
7 E0 D9 38 80 0
F E0 F0 32 80 0
7 E1 2B C3 0 0
7 E1 52 24 0 0
7 E1 66 C5 0 0
7 E1 A3 40 0 0
7 E2 84 EC 0 0
7 E2 FD 21 80 0
F E3 41 E5 0 0
F E3 4F 9F 80 0
F E3 82 F2 80 0
F E3 9B 3 0 0
7 E3 F4 49 80 0
7 E4 6A 94 0 0
F E5 37 66 0 0
F E5 8F 60 80 0
7 E5 D0 2 0 0
F E6 2A 90 80 0
7 E6 75 E2 80 0
7 E6 C3 39 0 0
F E6 D5 3D 80 0
7 E7 99 86 0 0
F E7 CE 48 80 0
7 E7 D1 37 0 0
7 E7 D2 14 80 0
7 E8 A4 14 0 0
7 E8 D4 22 0 0
F E9 1 9B 80 0
7 EB E6 E6 0 0
F EC DF 46 0 0
7 ED 6 F2 0 0
F ED 54 13 80 0
F EF 64 7 0 0
7 EF 9B 92 0 0
7 EF BF 26 0 0
7 F0 82 D0 80 0
7 F0 A0 E3 80 0
F F0 D9 C8 80 0
7 F0 E6 CD 80 0
7 F1 1B BD 80 0
7 F1 66 E6 80 0
7 F2 26 CC 80 0
F F2 31 2F 0 0
F F2 58 EA 0 0
7 F3 F 13 80 0
7 F3 7E 18 80 0
F F3 D1 0 0 0
7 F4 6A 98 0 0
F F4 AC 6A 0 0
7 F5 D 80 0 0
7 F5 39 D 80 0
7 F5 EB EB 80 0
F F6 26 ED 80 0
F F6 34 3A 0 0
7 F6 6C FE 80 0
7 F6 97 F5 80 0
7 F6 AF 41 0 0
F F6 DC 15 80 0
F F8 1B C4 0 0
7 F8 81 86 80 0
7 FA F 95 80 0
F FA 50 14 80 0
7 FA 74 7F 0 0
7 FA D4 A5 80 0
7 FB 69 E8 80 0
7 FB 9F 61 0 0
7 FB D6 D9 80 0
F FC B AA 0 0
7 FC 48 CA 0 0
F FE 6D 0 80 0
F FE 79 B7 0 0
F FE C8 4E 80 0
7 FF B1 7F 80 0
57 FF FF FE 80 0
4 0 57 5B 80 0
